EncouragingDiscouraging,ExpertiseScale,PosterTone,RespectfulDisrespectful,gender,speakerhidden,talkid
Discouraging,No degree,Negative,Disrespectful,male,"<br><span class=""highlighted"" data-timestamp=""1519150485846"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">you think satan has the power to cause earthquakes?</span>  where in the bible does it say that?    no, either god did it or he doesn't exist.  i favour the latter because plate tectonics can't be punishing anyone.",1991
Encouraging,STEM degree,None,Neutral,male,"what are the 2 or more competing forces which give the higgs bozon its critical mass ??  i guess they are not known yet, if ever.  but do the scientists find this question practical and do they make it one of the major targets of their research ??",566
Discouraging,No degree,Negative,Disrespectful,male,"<br>t<span class=""highlighted"" data-timestamp=""1519150557436"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">hey wasted all their time showing photos of themselves rather then telling us what we all really wanted to hear about!</span>",1639
Discouraging,None-STEM degree,Strongly Negative,Disrespectful,female,"<br>we used this video in our ielts english class. here are our students' comments, part 4.  <span class=""highlighted"" data-timestamp=""1519150599176"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">bak sa says ""i feel like that she is using women to be popular."" raquel says ""it is a weak argument to justify her own incompetence.""</span>",1285
Encouraging,No degree,Positive,Neutral,male,"<br>@ ramin  watched both clips, <span class=""highlighted"" data-timestamp=""1519150643827"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">but don't see how rd could have been tricked into talking about aliens if he didn't want to.  being interviewed is a major part of his life, and he's very good at it.  i just don't believe he would say something like that by accident.</span>",1990
Discouraging,None-STEM degree,Neutral,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519150689974"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">after all, mr. wolfram is a strategic and marketing director...  is he going to say anything beyond:... ""buy technology.... buy technology... if you don't, you are a bad person..."" ?</span>",1311
Encouraging,None-STEM degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519150745042"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">amazing! you guys are angles!</span> saving at least a few of the young ones from the tyranny they face. i hope this idea spreads further and further, removing fear and greed from kids' curriculum.",1614
Discouraging,No degree,Negative,Disrespectful,male,"<br><span class=""highlighted"" data-timestamp=""1519150794582"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">alas!  robert hall is just being argumentative, and evading the point, by suggesting that he is somehow more perceptive, and with a wider view of complexities that most off us know about.  those commenters who have tried to focus the argument for him have displayed admirable patience!</span>",499
Encouraging,,None,Neutral,female,interesting to see this again.  the use of the bi-metal strips remnds me of the original work by john harrison in the 1700's.  back then he used them to keep his amazing clocks consistent in the face of severe temperature changes.  amazing then and now!,809
Encouraging,STEM degree,None,Neutral,male,interesting to see this again.  the use of the bi-metal strips remnds me of the original work by john harrison in the 1700's.  back then he used them to keep his amazing clocks consistent in the face of severe temperature changes.  amazing then and now!,165
Encouraging,STEM degree,None,Neutral,male,wow just wow i like it but how can you put his translation into other web ?? did i miss somthing here ?,1055
Encouraging,STEM degree,Positive,Respectful,male,this talk helped me understand my family /friends who habitually procrastinate to their detriment.  i could never understand why they preferred panic and anxiety over just taking care of business.  now i know they simply have a much bigger monkey to contend with than i do :),13
Discouraging,STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519151187644"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i am not too sure what this has contributed to?</span> society and people have already figured out the concepts and are reflected in daily lives... we just dont call them games. <span class=""highlighted"" data-timestamp=""1519151184842"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">seems he is only marketing using gaming influence as a selling point.</span>",1371
Discouraging,None-STEM degree,Neutral,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519151217325"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">if only you used examples from your competition, you would have made your story far more authentic.</span> even the chairman of hindustan lever falls pray to his own ego trying to do good",518
Discouraging,No degree,Negative,Disrespectful,male,"<br>i<span class=""highlighted"" data-timestamp=""1519151256732"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true""> loved the part when he says, he hated arabs but did not know why. ""i almost broke a leg dancing to their music"" :-d</span>",1595
Encouraging,None-STEM degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519151274814"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">your talk came in at the most appropriate time. </span>my 86 year old dad is dying at home of a brain tumor.  i am so thankful we had this talk while he was well.  i would advise anyone else to do the same while they are young and healthy.",977
Discouraging,STEM degree,None,Neutral,male,"technology isn't the issue here; criminal intent is. if someone wants to to do you harm, does it really matter if they hack your car, poison your food, or attack you with a knife?",998
Encouraging,STEM degree,Positive,Neutral,male,"amazingly inspiring. this will definitely change the way i communicate to others (now i  also get a better picture of why everyone wants apple, when i only see that they sell overpriced hardware in a neat design; apple-lovers have seen their commercials and accepted their beliefs and their lifestyle.)",1437
Encouraging,None-STEM degree,Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519151573230"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i thought that his model for using autonomy was awesome. i agree with him</span> that people are more inclined to do better more inspired work if they have the freedom to be creative without deadlines and pressure on a constant bases. <span class=""highlighted"" data-timestamp=""1519151576268"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">good talk.</span>",1594
Discouraging,None-STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519151597153"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i thought he was alright, but lacked the kind of performance that would draw the kind of praise given to him on this board.  clever yes, hilarious or innovative i'm afraid not.</span>",2037
Encouraging,No degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519151617608"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">amazing &amp; congratulation for your record! you made possible the impossible by practice, training &amp; experimenting.</span>",1506
Encouraging,STEM degree,None,Neutral,male,"the creation of any interface that lets you get the ideas in your head out into the living world be it music, art, architecture or words and ideas is worth pursuit. how it is applied, the art and the action is what matters.",1873
Encouraging,None-STEM degree,None,Neutral,male,"i flee from my local barnes and noble book store after about 10 minutes max, because of their music system.  it's probably cost them thousands from me alone. :-)",1558
Encouraging,None-STEM degree,None,Neutral,female,"when you tell yourself you're a bad person, idiot, etc. from mistakes, it doesn't help you because now you've given yourself an identity (that is false).  you learn from your mistakes and tell yourself you're a person in process, as we all are.",1057
Encouraging,None-STEM degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519151948251"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">what an excellent talk! i love the way the speaker presents herself as vulnerable and practices what she is preaching!</span>",1287
Encouraging,None-STEM degree,Neutral,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519151996455"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i love the question, i love a lot of what he is discussing and his iconoclastic spirit.  i think it is intellectually dishonest to offer 4 theories regarding ""what we were doing right""  and ignore the what is historically the most  influential book in western civilization, the king james bible.</span>",1946
Encouraging,No degree,Neutral,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519152035601"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">sorry joe, one week after watching this, i could not recall your name, but i thought of you often whilst in the bathroom. gosh that sounds wrong.</span>",952
Encouraging,No degree,Positive,Neutral,male,"<br>henry's story is so amazing, despite his sickness he didn't give up. that's how technology should be used. to help persons in need and handicaped. <span class=""highlighted"" data-timestamp=""1519152398394"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i'm so happy to see mr henry smiling and hoping a better future</span>",547
Discouraging,STEM degree,Neutral,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519152429871"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">he talks about ""abundance"" early on in the video.</span>  how can you have abundance without addressing waste or finite resources?  just because we can produce doesn't mean we should produce.  it's irrelevant whether it's done by (wo)man or machine.",653
Encouraging,None-STEM degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519152462098"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">brilliant.  i hope you continue to animate more poems.</span>  it does make them more accessible, and doesn't detract from them.",978
Encouraging,None-STEM degree,Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519152500103"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">very enlightening. i love jamie's passion</span> about saving the next generation from killing themselves with food. <span class=""highlighted"" data-timestamp=""1519152506270"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i support his cause,</span> we need a change. we're killing ourselves.",1492
Encouraging,None-STEM degree,None,Neutral,female,"my 7 year old is good at this, last week she got hurt at karate and said she had a ""ninjury"" when she was younger she would roll her eyes at my 'helicopter' parenting and assure me she was ""carefuling"" and ""why isn't tran'sport' in the olympics?""",286
Encouraging,STEM degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519152556015"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">this has been the most amazing ted talk. allan savory does not complain, does not blame, does not waste time, he just devotes his work life to find solutions for desertification – and is proving that changes are possible, now! what an amazing scientist! what an amazing being!</span>",726
Discouraging,STEM degree,Neutral,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519152570746"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">respectfully disagree - i love his science talks, but he is not an economist.</span>",1706
Encouraging,None-STEM degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519152610867"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i love the passion with which he approaches this issue.</span> i am really interested in seeing how the us government &amp; local school boards work with him during this project.",1492
Encouraging,STEM degree,None,Neutral,male,"interesting. mineralogy and geology students learn these concepts during their first semesters. they are the foundation of all geological concepts and materials. however, as opposed to my own professors marcus du sautoy leaves you enthusiastic afterwards, not  disappointed.",1549
Encouraging,STEM degree,Positive,Respectful,male,"<br>excuse my spelling <span class=""highlighted"" data-timestamp=""1519152657418"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">your presentation was fantastic</span> <span class=""highlighted"" data-timestamp=""1519152661003"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i really like progress and yours is inspiring</span>...i think i might have an idea of how to increase the driving distance in your car.",715
Encouraging,None-STEM degree,Positive,Disrespectful,male,"<br><span class=""highlighted"" data-timestamp=""1519152821883"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">woowsome speech </span>......pls,dont spot out their weak spots!!!make use of our resource in usefull manner ..tats the moral!! take positive from everything you hear,watch and see...follow it or b quite!",477
Discouraging,STEM degree,None,Neutral,male,i don't think it matters too much if you chocolate cake has cream beside it or in stripes across it.  you will eat it . great whites are an apex predator and their vision is just fine when hunting so i wouldn't put any faith in this,445
Encouraging,No degree,Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519152900135"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">excellent joseph! wish you can meet your mother and sister pretty soon.</span>",646
Encouraging,None-STEM degree,None,Neutral,male,"my little sister and her friends think music of the nineties were so cheesy.  i ask, what would you rather be the symbol of your music, nihilistic apathy or over use of autotune and one-man-band ""live-looping""?",1164
Discouraging,None-STEM degree,None,Disrespectful,female,"unfortunately words like ""racist"" and ""homophobic"" are so overused for every little offense they start to lose their meaning when the real thing is there.",363
Encouraging,No degree,None,Neutral,male,"everyone wants to allow someone into their most secret self. everyone feels so alone inside that their deepest wish is for someone to know their secret being, because then they are alone no longer:)",966
Encouraging,No degree,Strongly Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519152982717"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i love his energy  he is insane and so inspiring !!!!!!</span>",868
Discouraging,No degree,Neutral,Neutral,male,"with the levitating hand trick, watch his left thigh when he wants the mans hand to move while sitting at the table. i think he is putting pressure up or down on his foot. notice how he doesn't ask the man where he feels the pressure. just a thought.",1829
Encouraging,,Neutral,Neutral,male,"<br>have you ever heard the wolf cry to the blue corn moon? <span class=""highlighted"" data-timestamp=""1519153082206"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">his story make me think of ""colors of the wind""</span>.",44
Encouraging,None-STEM degree,None,Neutral,male,"i understand the difference between feeling happy about a memory and happy about experiencing, but when you're ""appreciating the moment""—that is, conscious of your happiness—are you reviewing recent memories (remembering self) or using the experiencing self?",1481
Discouraging,None-STEM degree,None,Neutral,female,"i didn't learn only something about chernobyl. i saw passion,struggle. i think that people who left lost, the rest of them win. they live longer than people who don't stay in chernobyl. also they are happier than them. motherland is mother land.",561
Encouraging,STEM degree,None,Neutral,male,"what where/ are the names of those role out tubes, the second object they showed us in the video. is there a website for them? the reason i ask is that i have come up with a idea that suits them well",1770
Discouraging,None-STEM degree,Strongly Negative,Disrespectful,male,"<br>l<span class=""highlighted"" data-timestamp=""1519153299911"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">ies, damned lies, and statistics.  he found some data that served his agenda and off he went.</span>  people in the former slave states of the south voted along racial lines... and the point is?  i could have posited that without a bunch of red and blue maps.",1660
Encouraging,STEM degree,None,Neutral,male,"can anyone help me understand how this goes together with fda clinical trials? as far as i know, any drug to be introduced needs to pass those and, due to their large scale, they seem rather difficult to cheat on. (where) do i err?",831
Encouraging,None-STEM degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519153392423"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">simply beautiful!!! ronny, you have started a ""graphic design meme"", which may deter war. your images are worth a thousand beautiful words each.   i say it like that because of the saying ""a picture is worth a thousand words."" nicely done.</span>",768
Encouraging,STEM degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519153428402"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">great talk.</span>  makes me wonder what your search would show if you followed up on your data patients.  how many would be diagnosed with type 2 diabetes and then have to add even more medication to lower blood glucose.",23
Encouraging,None-STEM degree,Positive,Respectful,female,"<br>i believe that this is what eckhart tolle, jesus christ, and others were speaking about when they spoke of their experience with enlightenment. they were able to access this, though, without a stroke.   <span class=""highlighted"" data-timestamp=""1519153454903"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">very eloquent talk.</span>",1887
Discouraging,None-STEM degree,Strongly Negative,Disrespectful,male,"<br><span class=""highlighted"" data-timestamp=""1519153610870"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">this talk was awful. spouting off about your scrabble knowledge and the fact that you work for the new york times does not say anything broader, more encompassing, or even marginally interesting to anyone else. way to give a ted talk lauding your own vocabulary.</span>",388
Discouraging,None-STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519153663965"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">largely a semantic argument. you can disprove just about anything if you start with the oxford english dictionary. still, a very dynamic speaker; just disappointed his argument was little more than cocktail party banter.</span>",407
Discouraging,None-STEM degree,None,Neutral,male,the cameraman annoyed me more than usual in this talk. focusing on the back of his head when he was pointing at the screen long enough to miss a slide or two. is there anyway to get a copy of just the slides for this talk?,1889
Encouraging,STEM degree,None,Neutral,male,my minivan--12 years ago had the integrated child seat that he shows as the 'childseat of the future'.  how can you deny these studies? so many comments here are angry--but why?,1845
Encouraging,No degree,Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519153756691"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">very inspiring and encouraging talk. she seemed to genuinely want to help by sharing her experiences with both failure and great success.her ideology is'eat, pray and love </span>' i think this ideology can be effectively.<span class=""highlighted"" data-timestamp=""1519153761092"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i always admire people who have their own dreams to pursue.</span>",443
Encouraging,None-STEM degree,Positive,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519153791050"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">well spoken.</span>  i can see however, that part of the problem will be the attitude of the aid agencies.  will they want to be seen giving out condoms with ""sexed"" up packaging?  i doubt it. it will be hard to mesh with their image.",1108
Discouraging,STEM degree,Negative,Neutral,male,"<br>great.. its time we bring up this issue. <span class=""highlighted"" data-timestamp=""1519153842318"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">but he misses out something that i think is very vital. he does not mention the role of emotions. his concept will get us one step ahead to creating better ai's but they can never replace humans unless they have emotions.</span>",1467
Encouraging,None-STEM degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519153874289"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">love you linda.</span> as i have born in a poor family and struggled a lot for education.<span class=""highlighted"" data-timestamp=""1519153876676"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true""> your each word touched my heart.</span>",183
Encouraging,No degree,Strongly Positive,Respectful,female,"<br><span class=""highlighted"" data-timestamp=""1519153893738"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">one of my favorite tedtalks. fresh, human, authentic. she is amazing and a great example of what you get when you sum up passion + talent + hard work.</span>",1232
Encouraging,None-STEM degree,Positive,Disrespectful,female,"<br>y<span class=""highlighted"" data-timestamp=""1519154034028"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">ou can't blame her to spread her ideas and say ""barrack obama"", white house, oval office, friendship without being political.</span>",1637
Encouraging,None-STEM degree,None,Neutral,male,"my dream is to help me on building a new nations in under developed that help them to feel that they are humans , here we don`t feel like this and this is the most bad thing that made these people in this bad quality of life !",383
Encouraging,No degree,Positive,Neutral,female,"<br><span class=""highlighted"" data-timestamp=""1519154102270"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i agree about what she says about the autism</span> because, its true, now we didnt know what are the causes or consequences around this problem and what they people can say, and all is about genetics, with that we can determinate the causes in a large period of time",442
Discouraging,STEM degree,Strongly Negative,Disrespectful,female,"<br><span class=""highlighted"" data-timestamp=""1519154153362"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">if you watch this, and actually pay attention to the amount of time she spends arguing genuinely and logically for the value of sleep, you will see that it is quite a lot less than the amount of time she spends making jokes/ anecdotes and insulting men</span>",1285
Discouraging,STEM degree,Negative,Disrespectful,male,"<br>rogers have developped scientific  methods for scoring (e..g. the distance of the words  of a client to his inner self.) maslow has  classified the answers of healthy positive pleople.     other remark: <span class=""highlighted"" data-timestamp=""1519154182850"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">why the first words of seligman are that he is a professor? ego?</span>",1828
Discouraging,STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519154207140"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">that's a nice and optimistic tale but so not realistic.</span> for example, he is speaking about drinking saltwater after it's been transformed into clean drinking water. i mean, think about it, to transform it, you need energy, energy from gaz or oil we nearly don't have anymore.",993
Discouraging,None-STEM degree,Negative,Disrespectful,male,yeah. whatever? happiness is just a state of mind. right? you want to know what happiness is? being able to pay all of your bills without worrying about where the money is coming from and not being lonely. lotsa luck.,1774
Encouraging,STEM degree,Positive,Respectful,female,"if presented with real-world problems, the 1 billion gamers on the planet are ready to collaborate with scientists, economists, pathologists, and various experts. however, as she said, ""it's up to us what challenge we want them to tackle next.""",1470
Encouraging,None-STEM degree,Positive,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519154310647"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">the great thing about these comments are that they prove his point exactly - petty points made by small-minded people - picking apart what he said rather than engaging why he said it.</span>",1437
Encouraging,STEM degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519154324945"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i love how humble he is about his success. you can tell he has thoroughly enjoyed his life and his life's work. a truly inspiring mind.</span>",1679
Encouraging,STEM degree,None,Neutral,male,"if you had a ""love at first sight"" and married the person what would happen if you lost your ability to associate people with faces?  would it be ""love at first sight"" every time you saw your spouse?",1934
Encouraging,None-STEM degree,None,Neutral,male,an actual demonstration of how your culture and everyday life influence the way you think and how much we should consider more often to reverse our state of mind !,1499
Encouraging,STEM degree,Neutral,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519154394116"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">can you please share the tech aspects of the visualization? what did you use to build your visualization?</span> most tools i have played with are restrictive one way or the other..",1370
Encouraging,None-STEM degree,Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519154408563"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">emmanuel i feel that your doing the right thing for trying to help other kids around the community in raising money to build schools. and you turning to music because you felt that it was the best way to get through your hard times was a great idea.</span>",1595
Encouraging,None-STEM degree,None,Neutral,female,"indians have said this thousands of years ago..in the epic of mahabharatha where abhimanyu, son of arjun was said to have learnt the art of breaking war formations while he was in his mothers womb..",1060
Encouraging,No degree,None,Neutral,male,"well you can do it in your spare time, and belief in the invisible man affects us all.    so yes.",1990
Discouraging,STEM degree,Negative,Disrespectful,male,"<br>i'm not one for pop-science so <span class=""highlighted"" data-timestamp=""1519154478580"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">for me richard feynman talking about the beauty of nature is unsurpassed in meaning by the tacky commentry robin presents here.</span> check for yourself if you haven't ever heard this http://www.youtube.com/watch?v=crmbwcztc6e",1067
Discouraging,STEM degree,Strongly Negative,Disrespectful,male,"<br>i<span class=""highlighted"" data-timestamp=""1519154494984"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true""> hate this guy and his research, can't stand what he is trying to convey, i think he put up the research all wrong and can't for the sake of me understand what the hell is his message?</span>",1481
Encouraging,No degree,Strongly Positive,Respectful,male,"<br><span class=""highlighted"" data-timestamp=""1519154537665"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">i can't believe how effortlessly he splices humor, tragedy, and uplifting the spirit.  storyteller indeed!  (on a side note, i got a kick out of his throwaway joke ""there was no whole foods to get kangaroo steak at"")</span>",1826
Discouraging,STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519154565488"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">pasty-mouth should be considered a crime.  (pasty-mouth is when their mouth is dry and it makes that sticky noise every time they open their mouth).  the talk is brilliant, but dude! come on!  he's holding a bottle of water the whole time!  take a sip!  please!</span>",1650
Discouraging,STEM degree,Negative,Neutral,male,"<br><span class=""highlighted"" data-timestamp=""1519154594807"" style=""background-color: rgb(255, 255, 123);"" data-highlighted=""true"">pasty-mouth should be considered a crime.  (pasty-mouth is when their mouth is dry and it makes that sticky noise every time they open their mouth).  the talk is brilliant, but dude! come on!  he's holding a bottle of water the whole time!  take a sip!  please!</span>",1650
